type,price,loc,kamar_tidur,luas_tanah,luas_bangunan,sertifikasi
Rumah Second,Rp275 Jt,"Kalideres, Kota Jakarta Barat",2 KT,LT 60m²,LB 55m²,SHM
Rumah Second,Rp285 Jt,"Grogol Petamburan, Kota Jakarta Barat",2 KT,LT 60m²,LB 55m²,SHM
Rumah Second,"Rp4,9 M","Pesanggrahan, Kota Jakarta Selatan",8 KT,LT 378m²,LB 350m²,SHM
Rumah Second,Rp48 M,"Menteng, Kota Jakarta Pusat",4 KT,LT 765m²,LB 520m²,SHM
Rumah Second,Rp30 M,"Cilandak, Kota Jakarta Selatan",5 KT,LT 2500m²,LB 1000m²,SHM
Rumah Second,"Rp1,5 M","Cakung, Kota Jakarta Timur",3 KT,LT 102m²,LB 63m²,SHM
Rumah Second,Rp285 Jt,"Kalideres, Kota Jakarta Barat",2 KT,LT 60m²,LB 55m²,SHM
Rumah Second,"Rp3,3 M","Cakung, Kota Jakarta Timur",4 KT,LT 200m²,LB 354m²,SHM
Rumah Second,"Rp3,3 M","Pasar Minggu, Kota Jakarta Selatan",4 KT,LT 146m²,LB 149m²,SHM
Rumah Second,"Rp1,4 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 65m²,LB 90m²,SHM
Rumah Second,"Rp1,5 M","Cakung, Kota Jakarta Timur",3 KT,LT 102m²,LB 63m²,SHM
Rumah Second,"Rp4,9 M","Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 130m²,LB 350m²,SHM
Rumah Second,"Rp6,5 M","Kelapa Gading, Kota Jakarta Utara",2 KT,LT 240m²,LB 280m²,SHM
Rumah Second,Rp17 M,"Kebayoran Baru, Kota Jakarta Selatan",5 KT,LT 250m²,LB 700m²,SHM
Rumah Second,"Rp2,9 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 147m²,LB 200m²,SHM
Rumah Second,"Rp2,6 M","Grogol Petamburan, Kota Jakarta Barat",3 KT,LT 173m²,LB 220m²,SHM
Rumah Second,"Rp1,3 M","Cipayung, Kota Jakarta Timur",3 KT,LT 142m²,LB 200m²,SHM
Rumah Second,"Rp7,5 M","Kebayoran Baru, Kota Jakarta Selatan",5 KT,LT 260m²,LB 240m²,SHM
Rumah Second,Rp32 M,"Kebayoran Baru, Kota Jakarta Selatan",6 KT,LT 500m²,LB 450m²,SHM
Rumah Second,Rp285 Jt,"Kemayoran, Kota Jakarta Pusat",2 KT,LT 60m²,LB 55m²,SHM
Rumah Second,"Rp3,5 M","Matraman, Kota Jakarta Timur",4 KT,LT 239m²,LB 149m²,SHM
Rumah Second,Rp10 M,"Kebayoran Baru, Kota Jakarta Selatan",7 KT,LT 352m²,LB 200m²,SHM
Rumah Second,Rp4 M,"Jagakarsa, Kota Jakarta Selatan",4 KT,LT 323m²,LB 120m²,SHM
Rumah Second,"Rp4,9 M","Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 130m²,LB 350m²,SHM
Rumah Second,"Rp13,9 M","Tebet, Kota Jakarta Selatan",4 KT,LT 307m²,LB 432m²,SHM
Rumah Second,"Rp4,9 M","Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 130m²,LB 350m²,SHM
Rumah Second,Rp525 Jt,"Taman Sari, Kota Jakarta Barat",2 KT,LT 95m²,LB 104m²,SHM
Rumah Second,Rp275 Jt,"Kebayoran Lama, Kota Jakarta Selatan",2 KT,LT 60m²,LB 55m²,SHM
Rumah Second,"Rp3,9 M","Cakung, Kota Jakarta Timur",6 KT,LT 210m²,LB 258m²,SHM
Rumah Second,Rp275 Jt,"Kembangan, Kota Jakarta Barat",2 KT,LT 60m²,LB 55m²,SHM
Rumah Second,Rp4 M,"Pancoran, Kota Jakarta Selatan",5 KT,LT 252m²,LB 150m²,SHM
Rumah Second,"Rp5,5 M","Pesanggrahan, Kota Jakarta Selatan",7 KT,LT 420m²,LB 180m²,SHM
Rumah Second,Rp285 Jt,"Kembangan, Kota Jakarta Barat",2 KT,LT 60m²,LB 55m²,SHM
Rumah Second,Rp285 Jt,"Grogol Petamburan, Kota Jakarta Barat",2 KT,LT 60m²,LB 55m²,SHM
Rumah Second,"Rp1,8 M","Cakung, Kota Jakarta Timur",3 KT,LT 90m²,LB 170m²,SHM
Rumah Second,Rp260 Jt,"Kebon Jeruk, Kota Jakarta Barat",2 KT,LT 60m²,LB 55m²,SHM
Rumah Second,"Rp2,1 M","Cilincing, Kota Jakarta Utara",5 KT,LT 144m²,LB 220m²,SHM
Rumah Second,"Rp3,5 M","Kebayoran Baru, Kota Jakarta Selatan",3 KT,LT 144m²,LB 125m²,SHM
Rumah Second,"Rp3,4 M","Penjaringan, Kota Jakarta Utara",3 KT,LT 100m²,LB 100m²,
Rumah Second,"Rp5,5 M","Kelapa Gading, Kota Jakarta Utara",5 KT,LT 215m²,LB 200m²,SHM
Rumah Second,Rp500 Jt,"Cipayung, Kota Jakarta Timur",2 KT,LT 40m²,LB 60m²,SHM
Rumah Second,"Rp1,4 M","Cipayung, Kota Jakarta Timur",3 KT,LT 66m²,LB 102m²,SHM
Rumah Second,Rp20 M,"Pancoran, Kota Jakarta Selatan",6 KT,LT 964m²,LB 401m²,SHM
Rumah Second,"Rp2,1 M","Cakung, Kota Jakarta Timur",3 KT,LT 183m²,LB 160m²,SHM
Rumah Second,Rp3 M,"Kemayoran, Kota Jakarta Pusat",4 KT,LT 150m²,LB 180m²,SHM
Rumah Second,"Rp2,3 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 220m²,LB 150m²,SHM
