type,price,loc,kamar_tidur,luas_tanah,luas_bangunan,sertifikasi
Rumah Second,"Rp2,5 M","Jatinegara, Kota Jakarta Timur",8 KT,LT 147m²,LB 250m²,HGB
Rumah Second,"Rp1,6 M","Kelapa Gading, Kota Jakarta Utara",2 KT,LT 90m²,LB 80m²,
Rumah Second,"Rp2,4 M","Duren Sawit, Kota Jakarta Timur",5 KT,LT 117m²,LB 200m²,SHM
Rumah Second,"Rp1,6 M","Cakung, Kota Jakarta Timur",4 KT,LT 102m²,LB 63m²,SHM
Rumah Second,"Rp3,7 M","Tanjung Priok, Kota Jakarta Utara",3 KT,LT 150m²,LB 180m²,
Rumah Second,"Rp1,9 M","Duren Sawit, Kota Jakarta Timur",4 KT,LT 85m²,LB 122m²,SHM
Rumah Second,"Rp1,6 M","Cengkareng, Kota Jakarta Barat",2 KT,LT 150m²,LB 225m²,SHM
Rumah Second,"Rp17,5 M","Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 589m²,LB 444m²,SHM
Rumah Second,"Rp3,6 M","Cengkareng, Kota Jakarta Barat",4 KT,LT 248m²,LB 325m²,SHM
Rumah Second,"Rp2,1 M","Ciracas, Kota Jakarta Timur",4 KT,LT 137m²,LB 274m²,SHM
Rumah Second,"Rp4,4 M","Pasar Minggu, Kota Jakarta Selatan",5 KT,LT 207m²,LB 270m²,SHM
Rumah Second,"Rp16,5 M","Kebayoran Baru, Kota Jakarta Selatan",3 KT,LT 240m²,LB 350m²,SHM
Rumah Second,"Rp1,7 M","Cakung, Kota Jakarta Timur",3 KT,LT 90m²,LB 110m²,SHM
Rumah Second,"Rp7,5 M","Kebayoran Lama, Kota Jakarta Selatan",9 KT,LT 90m²,LB 200m²,SHM
Rumah Second,"Rp1,5 M","Pasar Minggu, Kota Jakarta Selatan",3 KT,LT 87m²,LB 70m²,SHM
Rumah Second,"Rp5,9 M","Kembangan, Kota Jakarta Barat",4 KT,LT 198m²,LB 213m²,SHM
Rumah Second,Rp475 Jt,"Jagakarsa, Kota Jakarta Selatan",2 KT,LT 60m²,LB 40m²,SHM
Rumah Second,Rp50 Jt,"Cakung, Kota Jakarta Timur",3 KT,LT 119m²,LB 100m²,SHM
Rumah Second,"Rp5,5 M","Kembangan, Kota Jakarta Barat",4 KT,LT 141m²,LB 250m²,SHM
Rumah Second,"Rp5,9 M","Pasar Minggu, Kota Jakarta Selatan",4 KT,LT 135m²,LB 395m²,SHM
Rumah Second,Rp50 Jt,"Cakung, Kota Jakarta Timur",3 KT,LT 119m²,LB 100m²,SHM
Rumah Second,Rp800 Jt,"Jagakarsa, Kota Jakarta Selatan",3 KT,LT 78m²,LB 90m²,SHM
Rumah Second,"Rp1,7 M","Cakung, Kota Jakarta Timur",3 KT,LT 119m²,LB 60m²,SHM
Rumah Second,Rp50 Jt,"Cakung, Kota Jakarta Timur",3 KT,LT 119m²,LB 100m²,SHM
Rumah Second,"Rp18,5 M","Kebayoran Baru, Kota Jakarta Selatan",4 KT,LT 277m²,LB 250m²,SHM
Rumah Second,"Rp17,5 M","Cengkareng, Kota Jakarta Barat",6 KT,LT 810m²,LB 600m²,SHM
Rumah Second,"Rp2,1 M","Cakung, Kota Jakarta Timur",2 KT,LT 90m²,LB 120m²,
Rumah Second,Rp1 M,"Cipayung, Kota Jakarta Timur",4 KT,LT 145m²,LB 145m²,SHM
Rumah Second,"Rp2,4 M","Cakung, Kota Jakarta Timur",3 KT,LT 70m²,LB 90m²,SHM
Rumah Second,"Rp1,1 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 50m²,LB 80m²,SHM
Rumah Second,"Rp3,5 M","Cilandak, Kota Jakarta Selatan",4 KT,LT 141m²,LB 250m²,SHM
Rumah Second,"Rp7,5 M","Duren Sawit, Kota Jakarta Timur",5 KT,LT 300m²,LB 400m²,SHM
Rumah Second,"Rp1,9 M","Cengkareng, Kota Jakarta Barat",4 KT,LT 179m²,LB 150m²,SHM
Rumah Second,"Rp4,2 M","Kelapa Gading, Kota Jakarta Utara",4 KT,LT 101m²,LB 164m²,SHM
Rumah Second,Rp1 M,"Duren Sawit, Kota Jakarta Timur",2 KT,LT 90m²,LB 60m²,SHM
Rumah Second,"Rp4,8 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 350m²,LB 200m²,SHM
Rumah Second,"Rp2,3 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 92m²,LB 160m²,SHM
Rumah Second,"Rp1,2 M","Cakung, Kota Jakarta Timur",2 KT,LT 104m²,LB 100m²,SHM
Rumah Second,"Rp1,2 M","Cipayung, Kota Jakarta Timur",3 KT,LT 66m²,LB 86m²,SHM
Rumah Second,"Rp1,7 M","Cakung, Kota Jakarta Timur",3 KT,LT 119m²,LB 60m²,SHM
Rumah Second,Rp135 Jt,"Ciracas, Kota Jakarta Timur",2 KT,LT 20m²,LB 38m²,SHM
Rumah Second,"Rp5,9 M","Tanah Abang, Kota Jakarta Pusat",4 KT,LT 126m²,LB 126m²,SHM
Rumah Second,Rp352 Jt,"Cengkareng, Kota Jakarta Barat",2 KT,LT 32m²,LB 60m²,SHM
Rumah Second,Rp700 Jt,"Kalideres, Kota Jakarta Barat",2 KT,LT 60m²,LB 65m²,SHM
Rumah Second,Rp650 Jt,"Jagakarsa, Kota Jakarta Selatan",2 KT,LT 60m²,LB 60m²,SHM
Rumah Second,"Rp4,7 M","Kebon Jeruk, Kota Jakarta Barat",3 KT,LT 239m²,LB 200m²,SHM
Rumah Second,Rp19 M,"Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 400m²,LB 450m²,SHM
Rumah Second,"Rp2,3 M","Johar Baru, Kota Jakarta Pusat",2 KT,LT 263m²,LB 150m²,SHM
Rumah Second,"Rp1,9 M","Kembangan, Kota Jakarta Barat",4 KT,LT 60m²,LB 100m²,HGB
Rumah Second,"Rp1,9 M","Kembangan, Kota Jakarta Barat",3 KT,LT 64m²,LB 100m²,HGB
Rumah Second,"Rp1,5 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 66m²,LB 87m²,SHM
Rumah Second,Rp790 Jt,"Jagakarsa, Kota Jakarta Selatan",4 KT,LT 115m²,LB 90m²,SHM
Rumah Second,"Rp1,2 M","Kebayoran Baru, Kota Jakarta Selatan",3 KT,LT 85m²,LB 85m²,SHM
Rumah Second,Rp35 M,"Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 630m²,LB 610m²,
Rumah Second,"Rp4,5 M","Pasar Minggu, Kota Jakarta Selatan",3 KT,LT 150m²,LB 140m²,
Rumah Second,Rp9 M,"Tebet, Kota Jakarta Selatan",10 KT,LT 305m²,LB 450m²,
Rumah Second,Rp20 M,"Cilandak, Kota Jakarta Selatan",4 KT,LT 230m²,LB 425m²,
Rumah Second,"Rp5,3 M","Cakung, Kota Jakarta Timur",3 KT,LT 280m²,LB 500m²,SHM
Rumah Second,Rp14 M,"Mampang Prapatan, Kota Jakarta Selatan",4 KT,LT 400m²,LB 400m²,
Rumah Second,Rp39 M,"Setiabudi (Setia Budi), Kota Jakarta Selatan",5 KT,LT 534m²,LB 350m²,
Rumah Second,"Rp9,8 M","Mampang Prapatan, Kota Jakarta Selatan",4 KT,LT 217m²,LB 439m²,
Rumah Second,"Rp9,8 M","Mampang Prapatan, Kota Jakarta Selatan",4 KT,LT 203m²,LB 439m²,
Rumah Second,"Rp2,8 M","Duren Sawit, Kota Jakarta Timur",5 KT,LT 166m²,LB 150m²,HGB
Rumah Second,Rp7 M,"Cilandak, Kota Jakarta Selatan",4 KT,LT 302m²,LB 300m²,
Rumah Second,"Rp1,8 M","Cipayung, Kota Jakarta Timur",5 KT,LT 278m²,LB 170m²,SHM
Rumah Second,"Rp6,9 M","Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 384m²,LB 200m²,
Rumah Second,Rp55 M,"Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 1400m²,LB 1000m²,
Rumah Second,"Rp4,2 M","Tebet, Kota Jakarta Selatan",5 KT,LT 150m²,LB 200m²,
Rumah Second,"Rp2,3 M","Pasar Minggu, Kota Jakarta Selatan",4 KT,LT 75m²,LB 130m²,SHM
Rumah Second,"Rp27,5 M","Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 613m²,LB 450m²,
Rumah Second,Rp375 Jt,"Pasar Minggu, Kota Jakarta Selatan",2 KT,LT 70m²,LB 70m²,SHM
Rumah Second,Rp5 M,"Jagakarsa, Kota Jakarta Selatan",4 KT,LT 270m²,LB 150m²,
Rumah Second,Rp42 M,"Kebayoran Baru, Kota Jakarta Selatan",5 KT,LT 458m²,LB 325m²,SHM
Rumah Second,Rp18 M,"Tebet, Kota Jakarta Selatan",8 KT,LT 306m²,LB 705m²,SHM
Rumah Second,Rp25 M,"Kebayoran Baru, Kota Jakarta Selatan",4 KT,LT 406m²,LB 253m²,
Rumah Second,"Rp9,9 M","Cilandak, Kota Jakarta Selatan",5 KT,LT 297m²,LB 405m²,SHM
Rumah Second,Rp16 M,"Kebayoran Baru, Kota Jakarta Selatan",5 KT,LT 350m²,LB 700m²,SHM
Rumah Second,"Rp3,1 M","Tebet, Kota Jakarta Selatan",3 KT,LT 90m²,LB 165m²,
Rumah Second,Rp12 M,"Jagakarsa, Kota Jakarta Selatan",7 KT,LT 750m²,LB 525m²,SHM
Rumah Second,Rp18 M,"Cipayung, Kota Jakarta Timur",7 KT,LT 545m²,LB 400m²,SHM
Rumah Second,"Rp1,8 M","Koja, Kota Jakarta Utara",4 KT,LT 174m²,LB 260m²,SHM
Rumah Second,Rp18 M,"Gambir, Kota Jakarta Pusat",6 KT,LT 310m²,LB 655m²,SHM
Rumah Second,Rp46 M,"Kebayoran Lama, Kota Jakarta Selatan",7 KT,LT 671m²,LB 400m²,SHM
Rumah Second,Rp55 M,"Menteng, Kota Jakarta Pusat",3 KT,LT 760m²,LB 348m²,
Rumah Second,"Rp3,5 M","Ciracas, Kota Jakarta Timur",4 KT,LT 266m²,LB 300m²,
Rumah Second,"Rp3,6 M","Ciracas, Kota Jakarta Timur",3 KT,LT 170m²,LB 200m²,
Rumah Second,Rp815 Jt,"Ciracas, Kota Jakarta Timur",2 KT,LT 90m²,LB 60m²,
Rumah Second,"Rp3,9 M","Cakung, Kota Jakarta Timur",5 KT,LT 210m²,LB 258m²,SHM
Rumah Second,Rp53 M,"Kebayoran Baru, Kota Jakarta Selatan",4 KT,LT 639m²,LB 650m²,
Rumah Second,"Rp1,6 M","Ciracas, Kota Jakarta Timur",3 KT,LT 119m²,LB 150m²,
Rumah Second,"Rp1,3 M","Pasar Rebo, Kota Jakarta Timur",4 KT,LT 130m²,LB 140m²,SHM
Rumah Second,"Rp2,8 M","Ciracas, Kota Jakarta Timur",3 KT,LT 225m²,LB 225m²,
Rumah Second,"Rp8,9 M","Pasar Minggu, Kota Jakarta Selatan",4 KT,LT 231m²,LB 462m²,
Rumah Second,"Rp2,5 M","Ciracas, Kota Jakarta Timur",4 KT,LT 185m²,LB 185m²,
Rumah Second,Rp990 Jt,"Jagakarsa, Kota Jakarta Selatan",3 KT,LT 93m²,LB 75m²,SHM
Rumah Second,Rp1 M,"Cakung, Kota Jakarta Timur",4 KT,LT 127m²,LB 180m²,SHM
Rumah Second,Rp9 M,"Pulogadung (Pulo Gadung), Kota Jakarta Timur",4 KT,LT 321m²,LB 280m²,SHM
Rumah Second,Rp950 Jt,"Cipayung, Kota Jakarta Timur",3 KT,LT 64m²,LB 90m²,SHM
Rumah Second,"Rp4,4 M","Pulogadung (Pulo Gadung), Kota Jakarta Timur",3 KT,LT 192m²,LB 150m²,SHM
Rumah Second,"Rp6,8 M","Mampang Prapatan, Kota Jakarta Selatan",4 KT,LT 156m²,LB 275m²,
Rumah Second,Rp985 Jt,"Cipayung, Kota Jakarta Timur",3 KT,LT 85m²,LB 72m²,SHM
Rumah Second,Rp700 Jt,"Jagakarsa, Kota Jakarta Selatan",2 KT,LT 50m²,LB 38m²,SHM
Rumah Second,"Rp1,7 M","Duren Sawit, Kota Jakarta Timur",3 KT,LT 90m²,LB 120m²,SHM
Rumah Second,"Rp2,5 M","Duren Sawit, Kota Jakarta Timur",3 KT,LT 100m²,LB 140m²,SHM
Rumah Second,"Rp8,3 M","Mampang Prapatan, Kota Jakarta Selatan",3 KT,LT 205m²,LB 250m²,
Rumah Second,"Rp2,5 M","Kembangan, Kota Jakarta Barat",4 KT,LT 125m²,LB 150m²,SHM
Rumah Second,"Rp458,2 Jt","Cempaka Putih, Kota Jakarta Pusat",2 KT,LT 20m²,LB 38m²,SHM
Rumah Second,"Rp1,2 M","Cilincing, Kota Jakarta Utara",3 KT,LT 53m²,LB 106m²,SHM
Rumah Second,"Rp2,9 M","Cipayung, Kota Jakarta Timur",5 KT,LT 170m²,LB 250m²,SHM
Rumah Second,Rp3 M,"Jatinegara, Kota Jakarta Timur",8 KT,LT 147m²,LB 250m²,HGB
Rumah Second,Rp20 M,"Mampang Prapatan, Kota Jakarta Selatan",4 KT,LT 887m²,LB 900m²,SHM
Rumah Second,"Rp2,4 M","Makasar, Kota Jakarta Timur",3 KT,LT 100m²,LB 200m²,SHM
Rumah Second,"Rp2,1 M","Cakung, Kota Jakarta Timur",4 KT,LT 180m²,LB 132m²,
Rumah Second,Rp18 M,"Mampang Prapatan, Kota Jakarta Selatan",4 KT,LT 563m²,LB 300m²,
Rumah Second,Rp850 Jt,"Pasar Rebo, Kota Jakarta Timur",3 KT,LT 71m²,LB 120m²,SHM
Rumah Second,"Rp3,3 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 107m²,LB 270m²,
Rumah Second,"Rp339,7 Jt","Pal Merah (Palmerah), Kota Jakarta Barat",2 KT,LT 50m²,LB 30m²,SHM
Rumah Second,Rp10 M,"Cilandak, Kota Jakarta Selatan",2 KT,LT 184m²,LB 150m²,
Rumah Second,"Rp2,4 M","Penjaringan, Kota Jakarta Utara",3 KT,LT 97m²,LB 160m²,SHM
Rumah Second,"Rp2,5 M","Duren Sawit, Kota Jakarta Timur",5 KT,LT 117m²,LB 200m²,SHM
Rumah Second,"Rp3,7 M","Kebayoran Baru, Kota Jakarta Selatan",4 KT,LT 159m²,LB 150m²,
Rumah Second,"Rp339,7 Jt","Pal Merah (Palmerah), Kota Jakarta Barat",2 KT,LT 50m²,LB 30m²,SHM
Rumah Second,"Rp339,7 Jt","Pal Merah (Palmerah), Kota Jakarta Barat",2 KT,LT 50m²,LB 30m²,SHM
Rumah Second,"Rp1,2 M","Duren Sawit, Kota Jakarta Timur",2 KT,LT 100m²,LB 70m²,SHM
Rumah Second,"Rp339,7 Jt","Mampang Prapatan, Kota Jakarta Selatan",2 KT,LT 50m²,LB 30m²,SHM
Rumah Second,Rp12 M,"Pasar Minggu, Kota Jakarta Selatan",4 KT,LT 311m²,LB 750m²,
Rumah Second,"Rp339,7 Jt","Kebayoran Lama, Kota Jakarta Selatan",2 KT,LT 50m²,LB 30m²,SHM
Rumah Second,Rp3 M,"Cengkareng, Kota Jakarta Barat",3 KT,LT 186m²,LB 207m²,SHM
Rumah Second,"Rp6,7 M","Jatinegara, Kota Jakarta Timur",4 KT,LT 375m²,LB 200m²,SHM
Rumah Second,"Rp4,2 M","Kelapa Gading, Kota Jakarta Utara",4 KT,LT 101m²,LB 164m²,SHM
Rumah Second,Rp23 M,"Kebayoran Baru, Kota Jakarta Selatan",5 KT,LT 308m²,LB 445m²,
Rumah Second,Rp3 M,"Pancoran, Kota Jakarta Selatan",3 KT,LT 170m²,LB 170m²,SHM
Rumah Second,"Rp16,5 M","Cilandak, Kota Jakarta Selatan",3 KT,LT 251m²,LB 192m²,
Rumah Second,"Rp2,4 M","Cakung, Kota Jakarta Timur",5 KT,LT 160m²,LB 150m²,SHM
Rumah Second,"Rp1,8 M","Kramatjati (Kramat Jati), Kota Jakarta Timur",4 KT,LT 76m²,LB 92m²,SHM
Rumah Second,Rp2 M,"Tanjung Priok, Kota Jakarta Utara",6 KT,LT 200m²,LB 180m²,HGB
Rumah Second,"Rp1,2 M","Cilincing, Kota Jakarta Utara",2 KT,LT 48m²,LB 96m²,SHM
Rumah Second,"Rp8,2 M","Tebet, Kota Jakarta Selatan",5 KT,LT 300m²,LB 307m²,SHM
Rumah Second,"Rp2,1 M","Cakung, Kota Jakarta Timur",4 KT,LT 90m²,LB 120m²,
Rumah Second,"Rp2,6 M","Duren Sawit, Kota Jakarta Timur",4 KT,LT 117m²,LB 120m²,SHM
Rumah Second,"Rp1,2 M","Duren Sawit, Kota Jakarta Timur",2 KT,LT 70m²,LB 100m²,SHM
Rumah Second,"Rp2,1 M","Cilincing, Kota Jakarta Utara",5 KT,LT 144m²,LB 220m²,SHM
Rumah Second,"Rp8,5 M","Cilandak, Kota Jakarta Selatan",4 KT,LT 370m²,LB 300m²,
Rumah Second,"Rp2,9 M","Pasar Minggu, Kota Jakarta Selatan",4 KT,LT 122m²,LB 170m²,SHM
Rumah Second,"Rp6,8 M","Setiabudi (Setia Budi), Kota Jakarta Selatan",3 KT,LT 180m²,LB 150m²,
Rumah Second,"Rp3,9 M","Kebayoran Lama, Kota Jakarta Selatan",3 KT,LT 154m²,LB 231m²,SHM
Rumah Second,"Rp2,4 M","Jagakarsa, Kota Jakarta Selatan",5 KT,LT 102m²,LB 180m²,SHM
Rumah Second,"Rp12,9 M","Pasar Minggu, Kota Jakarta Selatan",3 KT,LT 404m²,LB 350m²,SHM
Rumah Second,"Rp8,2 M","Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 140m²,LB 200m²,
Rumah Second,"Rp3,5 M","Pasar Minggu, Kota Jakarta Selatan",3 KT,LT 105m²,LB 180m²,
Rumah Second,"Rp2,4 M","Jatinegara, Kota Jakarta Timur",5 KT,LT 89m²,LB 120m²,SHM
Rumah Second,"Rp1,8 M","Pasar Minggu, Kota Jakarta Selatan",9 KT,LT 170m²,LB 210m²,SHM
Rumah Second,Rp13 M,"Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 370m²,LB 500m²,
Rumah Second,"Rp1,5 M","Jagakarsa, Kota Jakarta Selatan",2 KT,LT 66m²,LB 110m²,SHM
Rumah Second,"Rp1,2 M","Duren Sawit, Kota Jakarta Timur",4 KT,LT 90m²,LB 160m²,SHM
Rumah Second,"Rp1,7 M","Duren Sawit, Kota Jakarta Timur",3 KT,LT 102m²,LB 180m²,SHM
Rumah Second,Rp9 M,"Pancoran, Kota Jakarta Selatan",6 KT,LT 304m²,LB 150m²,SHM
Rumah Second,Rp53 M,"Kebayoran Baru, Kota Jakarta Selatan",5 KT,LT 667m²,LB 800m²,
Rumah Second,"Rp2,5 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 79m²,LB 240m²,SHM
Rumah Second,Rp600 Jt,"Jagakarsa, Kota Jakarta Selatan",2 KT,LT 60m²,LB 40m²,SHM
Rumah Second,Rp1 M,"Cempaka Putih, Kota Jakarta Pusat",3 KT,LT 25m²,LB 73m²,SHM
Rumah Second,"Rp4,5 M","Pulogadung (Pulo Gadung), Kota Jakarta Timur",5 KT,LT 135m²,LB 200m²,SHM
Rumah Second,"Rp1,7 M","Cakung, Kota Jakarta Timur",5 KT,LT 120m²,LB 150m²,SHM
Rumah Second,"Rp3,6 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 144m²,LB 200m²,SHM
Rumah Second,Rp8 M,"Pancoran, Kota Jakarta Selatan",6 KT,LT 295m²,LB 300m²,SHM
Rumah Second,"Rp2,9 M","Pancoran, Kota Jakarta Selatan",2 KT,LT 114m²,LB 100m²,
Rumah Second,"Rp2,7 M","Mampang Prapatan, Kota Jakarta Selatan",3 KT,LT 73m²,LB 120m²,
Rumah Second,Rp84 Jt,"Kebayoran Lama, Kota Jakarta Selatan",3 KT,LT 88m²,LB 160m²,SHM
Rumah Second,"Rp9,5 M","Cilandak, Kota Jakarta Selatan",4 KT,LT 239m²,LB 436m²,
Rumah Second,Rp30 M,"Pasar Minggu, Kota Jakarta Selatan",5 KT,LT 1540m²,LB 500m²,SHM
Rumah Second,Rp690 Jt,"Kemayoran, Kota Jakarta Pusat",3 KT,LT 60m²,LB 60m²,SHM
Rumah Second,"Rp2,3 M","Grogol Petamburan, Kota Jakarta Barat",3 KT,LT 78m²,LB 204m²,SHM
Rumah Second,"Rp2,4 M","Jagakarsa, Kota Jakarta Selatan",5 KT,LT 86m²,LB 160m²,SHM
Rumah Second,Rp30 M,"Jagakarsa, Kota Jakarta Selatan",5 KT,LT 1540m²,LB 500m²,SHM
Rumah Second,Rp840 Jt,"Kalideres, Kota Jakarta Barat",3 KT,LT 44m²,LB 68m²,SHM
Rumah Second,"Rp6,4 M","Tebet, Kota Jakarta Selatan",4 KT,LT 197m²,LB 280m²,SHM
Rumah Second,Rp2 M,"Ciracas, Kota Jakarta Timur",3 KT,LT 160m²,LB 240m²,
Rumah Second,"Rp7,8 M","Tebet, Kota Jakarta Selatan",4 KT,LT 238m²,LB 250m²,
Rumah Second,Rp28 M,"Cilandak, Kota Jakarta Selatan",4 KT,LT 1143m²,LB 227m²,
Rumah Second,Rp390 Jt,"Cilincing, Kota Jakarta Utara",2 KT,LT 80m²,LB 75m²,SHM
Rumah Second,"Rp1,6 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 66m²,LB 120m²,SHM
Rumah Second,"Rp3,8 M","Ciracas, Kota Jakarta Timur",3 KT,LT 229m²,LB 210m²,
Rumah Second,Rp6 M,"Ciracas, Kota Jakarta Timur",3 KT,LT 600m²,LB 229m²,
Rumah Second,Rp55 M,"Kebayoran Baru, Kota Jakarta Selatan",LT 628m²,LB 400m²,,
Rumah Second,Rp38 M,"Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 555m²,LB 900m²,
Rumah Second,"Rp1,6 M","Ciracas, Kota Jakarta Timur",3 KT,LT 254m²,LB 125m²,SHM
Rumah Second,"Rp11,5 M","Kebayoran Baru, Kota Jakarta Selatan",3 KT,LT 202m²,LB 180m²,
Rumah Second,"Rp1,3 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 60m²,LB 110m²,SHM
Rumah Second,"Rp5,5 M","Pesanggrahan, Kota Jakarta Selatan",4 KT,LT 475m²,LB 215m²,SHM
Rumah Second,"Rp8,7 M","Pasar Minggu, Kota Jakarta Selatan",4 KT,LT 161m²,LB 310m²,
Rumah Second,"Rp5,9 M","Mampang Prapatan, Kota Jakarta Selatan",4 KT,LT 155m²,LB 430m²,
Rumah Second,"Rp3,5 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 144m²,LB 388m²,SHM
Rumah Second,"Rp5,8 M","Pasar Minggu, Kota Jakarta Selatan",6 KT,LT 114m²,LB 300m²,
Rumah Second,"Rp4,5 M","Penjaringan, Kota Jakarta Utara",3 KT,LT 160m²,LB 300m²,SHM
Rumah Second,"Rp6,2 M","Tebet, Kota Jakarta Selatan",4 KT,LT 144m²,LB 250m²,
Rumah Second,"Rp2,6 M","Tebet, Kota Jakarta Selatan",3 KT,LT 105m²,LB 147m²,SHM
Rumah Second,"Rp2,4 M","Cipayung, Kota Jakarta Timur",2 KT,LT 108m²,LB 160m²,SHM
Rumah Second,"Rp1,6 M","Kelapa Gading, Kota Jakarta Utara",3 KT,LT 54m²,LB 108m²,SHM
Rumah Second,Rp8 M,"Kebon Jeruk, Kota Jakarta Barat",6 KT,LT 354m²,LB 495m²,SHM
Rumah Second,Rp875 Jt,"Jagakarsa, Kota Jakarta Selatan",3 KT,LT 38m²,LB 80m²,SHM
Rumah Second,"Rp2,9 M","Tebet, Kota Jakarta Selatan",2 KT,LT 180m²,LB 100m²,
Rumah Second,"Rp2,5 M","Koja, Kota Jakarta Utara",5 KT,LT 144m²,LB 250m²,SHM
Rumah Second,Rp450 Jt,"Jagakarsa, Kota Jakarta Selatan",1 KT,LT 37m²,LB 30m²,SHM
Rumah Second,Rp47 M,"Kebayoran Baru, Kota Jakarta Selatan",5 KT,LT 516m²,LB 393m²,
Rumah Second,"Rp2,5 M","Duren Sawit, Kota Jakarta Timur",5 KT,LT 117m²,LB 200m²,SHM
Rumah Second,"Rp5,1 M","Pasar Minggu, Kota Jakarta Selatan",3 KT,LT 250m²,LB 250m²,SHM
Rumah Second,"Rp5,5 M","Johar Baru, Kota Jakarta Pusat",7 KT,LT 170m²,LB 200m²,SHM
Rumah Second,Rp122 M,"Kebayoran Baru, Kota Jakarta Selatan",3 KT,LT 1470m²,LB 659m²,
Rumah Second,"Rp2,5 M","Duren Sawit, Kota Jakarta Timur",5 KT,LT 117m²,LB 200m²,SHM
Rumah Second,"Rp1,4 M","Cipayung, Kota Jakarta Timur",3 KT,LT 97m²,LB 110m²,SHM
Rumah Second,"Rp4,8 M","Mampang Prapatan, Kota Jakarta Selatan",6 KT,LT 185m²,LB 316m²,SHM
Rumah Second,"Rp1,8 M","Makasar, Kota Jakarta Timur",3 KT,LT 118m²,LB 160m²,SHM
Rumah Second,"Rp1,2 M","Kramatjati (Kramat Jati), Kota Jakarta Timur",4 KT,LT 100m²,LB 150m²,SHM
Rumah Second,"Rp2,9 M","Pancoran, Kota Jakarta Selatan",5 KT,LT 120m²,LB 250m²,SHM
Rumah Second,"Rp3,5 M","Duren Sawit, Kota Jakarta Timur",5 KT,LT 126m²,LB 250m²,SHM
Rumah Second,"Rp4,5 M","Kebayoran Lama, Kota Jakarta Selatan",3 KT,LT 116m²,LB 200m²,
Rumah Second,"Rp16,8 M","Kebayoran Baru, Kota Jakarta Selatan",28 KT,LT 700m²,LB 800m²,
Rumah Second,"Rp2,9 M","Cilandak, Kota Jakarta Selatan",3 KT,LT 133m²,LB 170m²,SHM
Rumah Second,"Rp3,6 M","Kelapa Gading, Kota Jakarta Utara",4 KT,LT 120m²,LB 200m²,SHM
Rumah Second,"Rp3,8 M","Duren Sawit, Kota Jakarta Timur",4 KT,LT 172m²,LB 170m²,SHM
Rumah Second,Rp4 M,"Tebet, Kota Jakarta Selatan",3 KT,LT 176m²,LB 200m²,
Rumah Second,"Rp6,5 M","Kelapa Gading, Kota Jakarta Utara",3 KT,LT 170m²,LB 400m²,SHM
Rumah Second,Rp22 M,"Mampang Prapatan, Kota Jakarta Selatan",6 KT,LT 1000m²,LB 600m²,SHM
Rumah Second,"Rp12,5 M","Mampang Prapatan, Kota Jakarta Selatan",5 KT,LT 397m²,LB 398m²,SHM
Rumah Second,Rp600 Jt,"Pal Merah (Palmerah), Kota Jakarta Barat",5 KT,LT 65m²,LB 80m²,SHM
Rumah Second,"Rp5,5 M","Pulogadung (Pulo Gadung), Kota Jakarta Timur",5 KT,LT 156m²,LB 210m²,SHM
Rumah Second,Rp33 M,"Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 525m²,LB 525m²,SHM
Rumah Second,"Rp6,2 M","Cilandak, Kota Jakarta Selatan",4 KT,LT 297m²,LB 300m²,
Rumah Second,"Rp9,5 M","Mampang Prapatan, Kota Jakarta Selatan",5 KT,LT 260m²,LB 430m²,
Rumah Second,"Rp13,5 M","Duren Sawit, Kota Jakarta Timur",5 KT,LT 560m²,LB 600m²,SHM
Rumah Second,"Rp8,9 M","Cilandak, Kota Jakarta Selatan",4 KT,LT 500m²,LB 300m²,
Rumah Second,Rp350 Jt,"Kramatjati (Kramat Jati), Kota Jakarta Timur",1 KT,LT 14m²,LB 26m²,SHM
Rumah Second,Rp795 Jt,"Ciracas, Kota Jakarta Timur",2 KT,LT 46m²,LB 60m²,SHM
Rumah Second,"Rp11,5 M","Cilandak, Kota Jakarta Selatan",6 KT,LT 690m²,LB 900m²,
Rumah Second,"Rp2,4 M","Makasar, Kota Jakarta Timur",4 KT,LT 100m²,LB 200m²,SHM
